,date,tmp,angle,angle_std
220,07/12/2018,16.73888889,246.8055556,4.395827848
221,08/12/2018,18.21388889,246.6666667,9.949874371
222,09/12/2018,17.625,260.5,25.41926216
223,10/12/2018,19.575,242,19.14854216
224,11/12/2018,20.33888889,252.5,17.81619114
225,12/12/2018,20.12222222,261.8055556,8.627538095
226,13/12/2018,18.15277778,249.0555556,151.5391303
227,14/12/2018,19.725,36.36111111,77.4640249
228,15/12/2018,22.24166667,284.3333333,103.9845074
229,16/12/2018,19.875,268.25,32.43743979
230,17/12/2018,18.97222222,251.6111111,10.78650849
231,18/12/2018,19.79722222,248.3055556,30.59395315
232,19/12/2018,18.92777778,245.1388889,17.81564976
233,20/12/2018,14.34444444,245.8888889,10.09339107
234,21/12/2018,17.65555556,274.7777778,33.48143027
235,22/12/2018,18.67777778,231.75,146.5862232
236,23/12/2018,18.75,181.8333333,162.7179735
237,24/12/2018,17.80833333,245.1666667,20.56223615
238,25/12/2018,19.49166667,319.7222222,17.86774112
239,26/12/2018,17.51944444,237.25,23.09205611
240,27/12/2018,13.01944444,258.6111111,11.8632902
241,28/12/2018,12.00833333,225,7.898663741
242,29/12/2018,14.02777778,195.0277778,91.6834791
243,30/12/2018,13.61111111,233.8055556,10.62444625
244,31/12/2018,16.81666667,248.9166667,69.02389884
245,01/01/2019,17.41470588,255.7941176,24.70386897
246,02/01/2019,16.18888889,222.3611111,13.61811045
247,03/01/2019,16.14444444,245.3888889,19.02670313
248,04/01/2019,17.625,255.3055556,90.53109332
249,05/01/2019,15.83888889,261.5277778,14.13130117
250,06/01/2019,13.42222222,243.1666667,7.331439149
251,07/01/2019,13.99166667,232.8888889,9.882020086
252,08/01/2019,15.15833333,245.0833333,9.502558135
253,09/01/2019,11.25555556,261.7222222,81.45742279
254,10/01/2019,16.17222222,229.6944444,157.5822218
255,11/01/2019,16.78611111,186.3611111,167.8428751
256,12/01/2019,17.83611111,100.1666667,125.1546821
257,13/01/2019,14.76388889,249.9722222,6.800678525
258,14/01/2019,14.53888889,248.3888889,12.88685329
259,15/01/2019,15.99166667,217.6944444,5.295802554
260,16/01/2019,13.74166667,244.9444444,9.30634325
261,17/01/2019,12.98333333,253.6111111,8.680366665
262,18/01/2019,15.20277778,157.9444444,160.8575879
263,19/01/2019,16.11944444,106,152.0635832
264,20/01/2019,15.15,66.86111111,114.3455175
265,21/01/2019,18.52222222,217.1944444,116.7085209
266,22/01/2019,17.33055556,284.6944444,16.05341681
267,23/01/2019,18.11388889,111.3055556,146.302734
268,24/01/2019,20.13888889,251.1111111,36.69451804
269,25/01/2019,19.56388889,78.5,91.98626105
270,26/01/2019,23.68333333,217.7222222,78.56653624
271,27/01/2019,16.56666667,262.7777778,41.60002077
272,28/01/2019,13.50277778,258.3888889,14.7521708
273,29/01/2019,17.74444444,91.52777778,86.97716371
274,30/01/2019,18.83888889,251.8611111,47.04675734
275,31/01/2019,18.04444444,269.3888889,24.87667111
276,01/02/2019,19.11388889,289.25,60.2505763
277,02/02/2019,18.01388889,154.8888889,164.921998
278,03/02/2019,19.38055556,124.6388889,153.0406904
279,04/02/2019,24.175,120.75,25.25577492
280,05/02/2019,25.39166667,111.8888889,6.931320933
281,06/02/2019,17.225,188.1666667,143.343895
282,07/02/2019,16.87777778,295.9166667,56.46895657
283,08/02/2019,17.225,257.1944444,12.51403533
284,09/02/2019,15.45277778,274.6111111,8.489463331
285,10/02/2019,13.99444444,271.3611111,15.10362866
286,11/02/2019,16.22777778,288.1388889,27.81002295
287,12/02/2019,17.66388889,120.6944444,108.7453242
288,13/02/2019,21.68888889,184.6944444,90.18709548
289,14/02/2019,15.27777778,264.3611111,4.197570579
290,15/02/2019,14.88611111,239.0833333,11.74586216
291,16/02/2019,14.93888889,266.1111111,8.269011018
292,17/02/2019,16.51944444,279.6944444,16.04995577
293,18/02/2019,12.975,260.3888889,17.24863566
